Body,Head,Head Coverage,Std_Confidence,Pca Confidence,Support,Body Size,Pca Body Size,Functional_variable,PCA_valid,PCA_invalid,PCA_valid_proportion,PCA_invalid_proportion,Support_valid,Support_invalid,PCABody_valid,PCABody_invalid
?a  hasStage  IVA   ,?a  hasSmokingHabit  FormerSmoker,0.103448,0.5,0.5,33,66,66,?a,0.5,0.5,0.666666667,0.333333333,22,11,44,22
?a  patientDrug  Atezolizumab   ,?a  hasSmokingHabit  FormerSmoker,0.137931,0.571429,0.571429,44,77,77,?a,0,0.8,0,1,0,44,22,55
?a  patientDrug  Nivolumab   ,?a  hasSmokingHabit  FormerSmoker,0.172414,0.625,0.625,55,88,88,?a,0,0,0,0,0,0,0,0
?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasSmokingHabit  FormerSmoker,0.103448,0.333333,0.333333,33,99,99,?a,0.333333333,0.333333333,0.333333333,0.666666667,11,22,33,66
?a  hasBiomarker  PDL1_Positive   ,?a  hasSmokingHabit  FormerSmoker,0.103448,0.214286,0.214286,33,154,154,?a,0.3,0,1,0,33,0,110,44
?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  hasSmokingHabit  FormerSmoker,0.172414,0.555556,0.555556,55,99,99,?a,0.5,1,0.8,0.2,44,11,88,11
?a  hasGender  Female   ,?a  hasSmokingHabit  FormerSmoker,0.275862,0.5,0.5,88,176,176,?a,0.5,0.5,0.5,0.5,44,44,88,88
?a  patientDrug  Carboplatin   ,?a  hasSmokingHabit  FormerSmoker,0.172414,0.294118,0.294118,55,187,187,?a,0.142857143,0.4,0.2,0.8,11,44,77,110
?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasSmokingHabit  FormerSmoker,0.137931,0.5,0.5,44,88,88,?a,1,0.2,0.75,0.25,33,11,33,55
?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasSmokingHabit  FormerSmoker,0.137931,0.333333,0.333333,44,132,132,?a,0.333333333,0.333333333,0.5,0.5,22,22,66,66
?a  hasAgeCategory  Old   ,?a  hasSmokingHabit  FormerSmoker,0.172414,0.384615,0.384615,55,143,143,?a,0.166666667,0.571428571,0.2,0.8,11,44,66,77
?a  hasBiomarker  EGFR_Positive   ,?a  hasSmokingHabit  FormerSmoker,0.275862,0.5,0.5,88,176,176,?a,1,0.428571429,0.25,0.75,22,66,22,154
?a  patientDrug  Cisplatin   ,?a  hasSmokingHabit  FormerSmoker,0.137931,0.363636,0.363636,44,121,121,?a,0.2,0.5,0.25,0.75,11,33,55,66
?a  hasAgeCategory  Young   ,?a  hasSmokingHabit  FormerSmoker,0.206897,0.375,0.375,66,176,176,?a,0.5,0.25,0.666666667,0.333333333,44,22,88,88
?a  hasBiomarker  ALK_Negative   ,?a  hasSmokingHabit  FormerSmoker,0.172414,0.25,0.25,55,220,220,?a,0.181818182,0.333333333,0.4,0.6,22,33,121,99
?a  patientDrug  Pembrolizumab   ,?a  hasSmokingHabit  FormerSmoker,0.137931,0.307692,0.307692,44,143,143,?a,0.333333333,0.25,0.75,0.25,33,11,99,44
?a  patientDrug  Paclitaxel   ,?a  hasSmokingHabit  FormerSmoker,0.103448,0.333333,0.333333,33,99,99,?a,0.2,0.5,0.333333333,0.666666667,11,22,55,44
?a  patientDrug  Pemetrexed   ,?a  hasSmokingHabit  FormerSmoker,0.241379,0.411765,0.411765,77,187,187,?a,0.142857143,0.6,0.142857143,0.857142857,11,66,77,110
?a  hasBiomarker  ROS1_Negative   ,?a  hasAgeCategory  Young,0.344828,0.588235,0.588235,110,187,187,?a,0.7,0.428571429,0.7,0.3,77,33,110,77
?a  hasStage  IV   ,?a  hasSmokingHabit  FormerSmoker,0.172414,0.625,0.625,55,88,88,?a,0.666666667,0.6,0.4,0.6,22,33,33,55
?a  hasBiomarker  ROS1_Negative   ,?a  hasSmokingHabit  FormerSmoker,0.172414,0.294118,0.294118,55,187,187,?a,0.3,0.285714286,0.6,0.4,33,22,110,77
?a  patientDrug  Docetaxel   ,?a  hasSmokingHabit  FormerSmoker,0.103448,0.375,0.375,33,88,88,?a,0.25,0.5,0.333333333,0.666666667,11,22,44,44
?a  treatmentType  Immunotherapy   ,?a  hasSmokingHabit  FormerSmoker,0.344828,0.384615,0.384615,110,286,286,?a,0.307692308,0.461538462,0.4,0.6,44,66,143,143
?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasSmokingHabit  FormerSmoker,0.241379,0.304348,0.304348,77,253,253,?a,0.1,0.461538462,0.142857143,0.857142857,11,66,110,143
?a  type  Patient   ,?a  hasSmokingHabit  FormerSmoker,0.37931,0.37931,0.37931,121,319,319,?a,0,0,0,0,0,0,0,0
?a  hasRelapse_Progression  Progression   ,?a  hasSmokingHabit  FormerSmoker,0.344828,0.4,0.4,110,275,275,?a,0.333333333,0.461538462,0.4,0.6,44,66,132,143
?a  patientDrug  Docetaxel   ,?a  hasAgeCategory  Young,0.206897,0.75,0.75,66,88,88,?a,0.75,0.75,0.5,0.5,33,33,44,44
?a  hasBiomarker  EGFR_Positive   ,?a  hasAgeCategory  Young,0.310345,0.5625,0.5625,99,176,176,?a,1,0.5,0.222222222,0.777777778,22,77,22,154
?a  hasBiomarker  EGFR_Negative   ,?a  hasAgeCategory  Young,0.241379,0.583333,0.583333,77,132,132,?a,0.545454545,1,0.857142857,0.142857143,66,11,121,11
?a  hasBiomarker  PDL1_Positive   ,?a  hasAgeCategory  Young,0.310345,0.642857,0.642857,99,154,154,?a,0.6,0.75,0.666666667,0.333333333,66,33,110,44
?a  hasGender  Male   ,?a  hasSmokingHabit  FormerSmoker,0.103448,0.230769,0.230769,33,143,143,?a,0.166666667,0.285714286,0.333333333,0.666666667,11,22,66,77
?a  hasBiomarker  ALK_Negative   ,?a  hasAgeCategory  Young,0.344828,0.5,0.5,110,220,220,?a,0.545454545,0.444444444,0.6,0.4,66,44,121,99
?a  patientDrug  Pemetrexed   ,?a  hasAgeCategory  Young,0.310345,0.529412,0.529412,99,187,187,?a,0.571428571,0.5,0.444444444,0.555555556,44,55,77,110
?a  patientDrug  Cisplatin   ,?a  hasAgeCategory  Young,0.241379,0.636364,0.636364,77,121,121,?a,0.6,0.666666667,0.428571429,0.571428571,33,44,55,66
?a  hasRelapse_Progression  Progression   ,?a  hasAgeCategory  Young,0.482759,0.56,0.56,154,275,275,?a,0.583333333,0.538461538,0.5,0.5,77,77,132,143
?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasAgeCategory  Young,0.413793,0.521739,0.521739,132,253,253,?a,0.5,0.538461538,0.416666667,0.583333333,55,77,110,143
?a  patientDrug  Pembrolizumab   ,?a  hasAgeCategory  Young,0.275862,0.615385,0.615385,88,143,143,?a,0.444444444,1,0.5,0.5,44,44,99,44
?a  patientDrug  Paclitaxel   ,?a  hasAgeCategory  Young,0.137931,0.444444,0.444444,44,99,99,?a,0.4,0.5,0.5,0.5,22,22,55,44
?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasAgeCategory  Young,0.241379,0.875,0.875,77,88,88,?a,1,0.8,0.428571429,0.571428571,33,44,33,55
?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasAgeCategory  Young,0.137931,0.444444,0.444444,44,99,99,?a,0,0.666666667,0,1,0,44,33,66
?a  hasSmokingHabit  CurrentSmoker   ,?a  hasAgeCategory  Young,0.275862,0.533333,0.533333,88,165,165,?a,0.444444444,0.666666667,0.5,0.5,44,44,99,66
?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  hasAgeCategory  Young,0.275862,0.888889,0.888889,88,99,99,?a,0.875,1,0.875,0.125,77,11,88,11
?a  hasGender  Male   ,?a  hasAgeCategory  Young,0.172414,0.384615,0.384615,55,143,143,?a,0.333333333,0.428571429,0.4,0.6,22,33,66,77
?a  hasSmokingHabit  FormerSmoker   ,?a  hasAgeCategory  Young,0.206897,0.545455,0.545455,66,121,121,?a,0.8,0.333333333,0.666666667,0.333333333,44,22,55,66
?a  hasStage  IVB   ,?a  hasAgeCategory  Young,0.241379,0.777778,0.777778,77,99,99,?a,0.8,0.75,0.571428571,0.428571429,44,33,55,44
?a  treatmentType  Immunotherapy   ,?a  hasAgeCategory  Young,0.448276,0.5,0.5,143,286,286,?a,0.538461538,0.461538462,0.538461538,0.461538462,77,66,143,143
?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasAgeCategory  Young,0.241379,0.583333,0.583333,77,132,132,?a,0.666666667,0.5,0.571428571,0.428571429,44,33,66,66
?a  patientDrug  Carboplatin   ,?a  hasAgeCategory  Young,0.241379,0.411765,0.411765,77,187,187,?a,0.428571429,0.4,0.428571429,0.571428571,33,44,77,110
?a  type  Patient   ,?a  hasAgeCategory  Young,0.551724,0.551724,0.551724,176,319,319,?a,0,0,0,0,0,0,0,0
?a  hasBiomarker  PDL1_Positive   ,?a  hasAgeCategory  Old,0.172414,0.357143,0.357143,55,154,154,?a,0.4,0.25,0.8,0.2,44,11,110,44
?a  hasBiomarker  EGFR_Negative   ,?a  hasAgeCategory  Old,0.172414,0.416667,0.416667,55,132,132,?a,0.454545455,0,1,0,55,0,121,11
?a  hasBiomarker  EGFR_Positive   ,?a  hasAgeCategory  Old,0.241379,0.4375,0.4375,77,176,176,?a,0,0.5,0,1,0,77,22,154
?a  patientDrug  Paclitaxel   ,?a  hasAgeCategory  Old,0.172414,0.555556,0.555556,55,99,99,?a,0.6,0.5,0.6,0.4,33,22,55,44
?a  treatmentType  Thoracoscopy   ,?a  hasAgeCategory  Old,0.103448,1,1,33,33,33,?a,1,1,0.666666667,0.333333333,22,11,22,11
?a  hasGender  Female   ,?a  hasAgeCategory  Young,0.37931,0.6875,0.6875,121,176,176,?a,0.75,0.625,0.545454545,0.454545455,66,55,88,88
?a  hasSmokingHabit  FormerSmoker   ,?a  hasAgeCategory  Old,0.172414,0.454545,0.454545,55,121,121,?a,0.2,0.666666667,0.2,0.8,11,44,55,66
?a  hasBiomarker  ROS1_Negative   ,?a  hasAgeCategory  Old,0.241379,0.411765,0.411765,77,187,187,?a,0.3,0.571428571,0.428571429,0.571428571,33,44,110,77
?a  patientDrug  Cisplatin   ,?a  hasAgeCategory  Old,0.137931,0.363636,0.363636,44,121,121,?a,0.4,0.333333333,0.5,0.5,22,22,55,66
?a  hasStage  IVA   ,?a  hasAgeCategory  Old,0.103448,0.5,0.5,33,66,66,?a,0.5,0.5,0.666666667,0.333333333,22,11,44,22
?a  patientDrug  Atezolizumab   ,?a  hasAgeCategory  Old,0.137931,0.571429,0.571429,44,77,77,?a,0,0.8,0,1,0,44,22,55
